,AS Death rate,,AS YLL rate,,AS YLD rate,,AS DALY rate,,Life expectancy,,Healthy life expectancy,
,2019,2010-2019 (%),2019,2010-2019 (%),2019,2010-2019 (%),2019,2010-2019 (%),2019,2010-2019 (%),2019,2010-2019 (%)
European Union,465.8 (451.2; 480.9),-8.8 (-11.7; -5.9),9564 (9158; 9997),-12 (-15.7; -8.1),10687 (7908; 13858),0.6 (-0.1; 1.2),20251 (17408; 23514),-5.8 (-8; -3.7),81 (80.6; 81.3),"1,8",69.8 (66.6; 72.7),1.2 (0.7; 1.6)
Austria,420.8 (413.4; 428.8),-11.2 (-12.9; -9.4),8360 (8154; 8584),-14.9 (-17.2; -12.5),10744 (7927; 13927),-0.4 (-2; 1.2),19104 (16292; 22253),-7.3 (-9.2; -5.6),82.2 (82; 82.3),2,70.6 (67.2; 73.6),1.6 (1.2; 1.9)
Belgium,449.5 (439.6; 460.2),-9.4 (-11.6; -7.2),9129 (8837; 9453),-12.5 (-15.4; -9.4),11041 (8083; 14321),-2.1 (-3.7; -0.3),20170 (17230; 23435),-7.1 (-9; -5.1),81.4 (81.2; 81.6),"1,7",69.7 (66.3; 72.8),1.5 (1.1; 2)
Bulgaria,894.8 (744.3; 1070.7),-7.1 (-23.7; 11),19339 (15632; 23799),-9.4 (-27.9; 11.4),10036 (7413; 12976),0.3 (-1.5; 2.3),29375 (24710; 34547),-6.3 (-18.7; 8),73.3 (70.9; 75.7),"1,7",64.6 (61.4; 67.6),1.3 (-1.9; 4.3)
Croatia,591.3 (486.8; 714.9),-14.2 (-29.4; 3.6),11612 (9294; 14433),-16.7 (-33.4; 3.5),10274 (7607; 13342),0.2 (-2.1; 2.5),21886 (18219; 26054),-9.5 (-19.5; 2),78.7 (76.5; 80.8),"2,9",68.2 (64.8; 71.5),2 (-0.5; 4.2)
Cyprus,519.4 (480.7; 563.4),-14.4 (-21; -7.1),9235 (8394; 10194),-12.4 (-20.6; -3),10508 (7709; 13612),0.4 (-1.1; 1.7),19743 (16838; 22880),-6 (-10.7; -1.4),80.8 (80; 81.6),"2,1",69.9 (66.7; 72.9),1.4 (0.5; 2.3)
Czechia,541 (457.8; 638.7),-12.1 (-25.5; 3.6),10745 (8899; 12953),-15.2 (-29.7; 2.2),10409 (7680; 13558),0.2 (-1.8; 2.3),21153 (17813; 24971),-8.2 (-16.7; 1.5),79.5 (77.6; 81.3),"2,4",68.6 (65.1; 71.7),1.7 (-0.4; 3.6)
Denmark,462.4 (449.3; 476.6),-13.2 (-15.9; -10.5),9162 (8798; 9566),-14.9 (-18.4; -11.1),10768 (7956; 13905),-0.1 (-1.6; 1.6),19929 (17111; 23155),-7.5 (-10; -5.2),81.1 (80.8; 81.4),"2,4",69.9 (66.7; 72.8),1.7 (1.3; 2.2)
Estonia,584.3 (477.6; 707.2),-12.8 (-28.8; 6),13026 (10488; 16078),-15.4 (-32; 4.1),10035 (7400; 13058),-0.3 (-2.5; 1.8),23061 (19316; 27134),-9.5 (-19.9; 2.3),78 (75.6; 80.5),"3,8",68.1 (64.7; 71.4),2.2 (-0.7; 5)
Finland,428.4 (414.9; 443.1),-11.6 (-14.5; -8.5),8765 (8419; 9144),-15.4 (-18.9; -11.7),10805 (7991; 14005),-1.1 (-2.7; 0.6),19569 (16724; 22872),-8.1 (-10.5; -5.9),81.9 (81.5; 82.2),"2,1",70.3 (67; 73.3),1.8 (1.3; 2.3)
France,387.5 (380.3; 395.2),-10.7 (-12.5; -8.9),8282 (8061; 8526),-13 (-15.5; -10.4),10499 (7719; 13653),0 (-1.8; 2),18782 (16017; 21919),-6.2 (-8.2; -4.2),82.9 (82.7; 83.1),"1,8",71.5 (68.1; 74.5),1.3 (0.9; 1.7)
Germany,462.5 (455.3; 471.1),-5.2 (-6.7; -3.4),9126 (8946; 9330),-8.2 (-10.1; -6.2),10949 (8072; 14255),0.7 (-1.8; 3.2),20075 (17158; 23315),-3.6 (-5.3; -1.7),81.2 (81; 81.4),"1,1",69.7 (66.4; 72.7),0.6 (0.1; 1)
Greece,472.9 (461.8; 485.2),-4.8 (-7.2; -2.3),9543 (9206; 9929),-6.1 (-9.6; -2.3),10658 (7853; 13819),-0.5 (-2.2; 1.3),20201 (17423; 23370),-3.2 (-5.4; -1),80.9 (80.7; 81.2),1,69.9 (66.7; 72.7),0.7 (0.2; 1.1)
Hungary,667.5 (566.5; 785.6),-13.1 (-26.1; 2.2),14296 (11873; 17181),-15.9 (-30.1; 1),10204 (7532; 13215),0.4 (-1.6; 2.4),24500 (20800; 28629),-9.8 (-18.7; 0.8),76.6 (74.6; 78.6),3,66.8 (63.6; 69.9),2.1 (-0.2; 4.2)
Ireland,430.5 (416.4; 446),-9.7 (-12.9; -6.4),8320 (7935; 8752),-14.5 (-18.6; -10.1),11081 (8177; 14373),0.2 (-1.5; 2),19401 (16512; 22745),-6.7 (-9.4; -4.2),82 (81.7; 82.4),"2,3",70.4 (67; 73.3),1.3 (0.7; 1.8)
Italy,386.8 (383.4; 390.1),-9.2 (-10.1; -8.4),7439 (7344; 7527),-11.5 (-12.7; -10.4),10746 (7879; 14084),0.1 (-0.6; 0.8),18186 (15294; 21486),-5 (-6.1; -4),83.1 (83; 83.2),"1,6",71.2 (67.8; 74.3),1 (0.9; 1.2)
Latvia,685.3 (596.3; 797.8),-15.7 (-26.6; -1.9),15938 (13622; 18804),-19.9 (-31.5; -5.8),10078 (7427; 13078),-1 (-2.8; 0.9),26016 (22399; 30171),-13.5 (-21.6; -3.9),75.9 (73.8; 77.7),"4,1",66.3 (63.2; 69.2),3.3 (0.9; 5.6)
Lithuania,666.1 (565.5; 780),-18.5 (-30.7; -4.5),15538 (13039; 18462),-22.8 (-35; -8.1),10111 (7490; 13073),-2.1 (-4; -0.1),25648 (21935; 29654),-15.8 (-24; -5.9),76.2 (74.1; 78.3),"4,5",66.6 (63.3; 69.6),4 (1.4; 6.4)
Luxembourg,389.2 (353.4; 432.3),-16.8 (-24.7; -7.4),7794 (6939; 8847),-16 (-25.7; -4.5),10840 (8014; 14065),-0.1 (-2; 1.8),18634 (15642; 22023),-7.4 (-12.3; -1.9),82.9 (81.8; 83.9),"2,6",71 (67.5; 74.1),1.9 (0.6; 3.1)
Malta,400.4 (365.8; 438.7),-13.1 (-20.3; -5.3),8350 (7400; 9502),-12.7 (-22.6; -1.1),10633 (7845; 13777),-0.2 (-1.7; 1.3),18983 (16094; 22345),-6.1 (-11.2; -0.6),82.6 (81.6; 83.5),"2,2",71.1 (67.7; 74.1),1.5 (0.5; 2.6)
Netherlands,443.1 (432.3; 454.7),-6.6 (-8.9; -4.1),8503 (8200; 8844),-9 (-12.3; -5.4),10385 (7710; 13439),2.3 (0.4; 4.5),18888 (16190; 22000),-3.1 (-5.4; -0.8),81.7 (81.5; 82),"1,2",70.6 (67.5; 73.4),0.4 (-0.1; 0.9)
Poland,583.8 (504.2; 672.3),-11.2 (-23.5; 2.1),12787 (10894; 14824),-14.5 (-27.1; -0.5),9963 (7364; 12907),0.1 (-0.7; 0.8),22749 (19421; 26563),-8.7 (-16.6; -0.2),78.1 (76.3; 79.9),"2,9",68.1 (64.8; 71.2),1.9 (-0.1; 3.8)
Portugal,439.9 (429.4; 451.3),-12 (-14.3; -9.6),8774 (8463; 9122),-15.3 (-18.4; -11.8),10900 (8009; 14120),-2.2 (-3.8; -0.8),19674 (16845; 22930),-8.5 (-10.7; -6.5),81.7 (81.5; 82),"2,2",70.2 (66.8; 73.2),2 (1.6; 2.4)
Romania,716.5 (611.7; 835.4),-12.2 (-25.1; 2.2),16199 (13757; 19117),-14.6 (-27.5; 0.5),9844 (7318; 12819),0.1 (-2; 2.2),26044 (22457; 29967),-9.6 (-18.4; 0.7),75.5 (73.5; 77.5),"2,7",66.4 (63.3; 69.2),2.1 (-0.3; 4.4)
Slovakia,623.9 (511.6; 756.9),-12.6 (-28.6; 6),13208 (10559; 16428),-15 (-32.1; 5.3),10144 (7480; 13113),0 (-2.1; 2.1),23352 (19472; 27684),-9.1 (-19.4; 3.3),77.6 (75.2; 79.9),3,67.6 (64.1; 70.8),2 (-0.7; 4.5)
Slovenia,447.4 (362.1; 560.3),-14.2 (-30.3; 6.9),9023 (7218; 11474),-16.2 (-32.7; 6.4),10112 (7485; 13119),-2.5 (-4.4; -0.8),19135 (15775; 23040),-9.5 (-18.5; 2.1),81.4 (78.9; 83.7),"2,5",70.4 (66.7; 73.9),2.2 (-0.6; 4.5)
Spain,385.9 (378.7; 393.6),-8.9 (-10.6; -7),7570 (7372; 7792),-11.4 (-13.8; -8.8),10463 (7734; 13596),1.3 (-0.5; 3.1),18033 (15282; 21170),-4.5 (-6.3; -2.6),83.1 (82.9; 83.3),"1,6",71.6 (68.3; 74.5),0.9 (0.5; 1.3)
Sweden,397.9 (393.1; 403),-8.5 (-9.9; -7.2),7595 (7477; 7723),-10.2 (-11.8; -8.5),10474 (7727; 13605),0.9 (-0.5; 2.2),18069 (15379; 21133),-4.1 (-5.5; -2.8),82.8 (82.7; 83),"1,4",71.4 (68.1; 74.3),0.9 (0.6; 1.2)
United Kingdom,465.9 (462; 470.1),-3.1 (-3.9; -2.2),9372 (9245; 9507),-6.7 (-8.1; -5.3),11585 (8575; 14984),0.9 (0.2; 1.6),20957 (17941; 24318),-2.6 (-3.6; -1.7),81.1 (81; 81.2),"0,9",69.1 (65.7; 72.1),0.4 (0.1; 0.5)
