"","Authors","Year","Title","Objectives","Journal","URL"
"1","AbouZahn & Vaughan",2000,"Assessing the burden of sexual and reproductive ill-health: questions regarding the use of disability-adjusted life years","The use of the disability-adjusted life year (DALY) as the unit in which to calculate the burden of disease associated with reproductive ill-health has given rise to considerable debate. Criticisms include the failure to address the problem of missing and inadequate epidemiological data, inability to deal adequately with co-morbidities, and lack of transparency in the process of ascribing disability weights to sexual and reproductive health conditions. Many of these criticisms could be addressed within the current DALY framework and a number of suggestions to do so are made. These suggestions include: (1) developing an international research strategy to determine the incidence and prevalence of reproductive ill-health and diseases, including the risk of long-term complications; (2) undertaking a research strategy using case studies, population-based surveillance data and longitudinal studies to identify, evaluate and utilize more of the existing national data sources on sexual and reproductive health; (3) comprehensively mapping the natural history of sexual and reproductive health conditions--in males and in females--and their sequelae, whether physical or psychological; (4) developing valuation instruments that are adaptable for both chronic and acute health states, that reflect a range of severity for each health state and can be modified to reflect prognosis; (5) undertaking a full review of the DALY methodology to determine what changes may be made to reduce sources of methodological and gender bias. Despite the many criticisms of the DALY as a measurement unit, it represents a major conceptual advance since it permits the combination of life expectancy and levels of dysfunction into a single measure. Measuring reproductive ill-health by counting deaths alone is inadequate for a proper understanding of the dimensions of the problem because of the young age of many of the deaths associated with reproductive ill-health and the large component of years lived with disability from many of the associated conditions.","Bull WHO","https://www-ncbi-nlm-nih-gov.eur.idm.oclc.org/pmc/articles/PMC2560755/"
"2","Agardh et al",2018,"Hälsoutvecklingen i Stockholm bättre än i övriga landet - Jämförelse av hälsoläget utifrån globala sjukdomsbördeprojektet.","To give a more complete picture of the health situation in Stockholm County compared to the rest of Sweden, by using the DALY measure (disability-adjusted life years).","Lakartidningen","https://pubmed.ncbi.nlm.nih.gov/29360136/"
"3","Akgün et al",2007,"Estimating mortality and causes of death in Turkey: methods, results and policy implications","To estimate and report the rank order and magnitude of leading causes of death in Turkey","European Journal of Public Health","https://academic-oup-com.eur.idm.oclc.org/eurpub/article/17/6/593/473510"
"4","Althes et al",2009,"Targeted BCG vaccination against severe tuberculosis in low-prevalence settings: epidemiologic and economic assessment","We combined an epidemiologic analysis with a cost-effectiveness analysis to evaluate the cost-effectiveness of targeted strategies.","Epidemiology","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/19295437/"
"5","Angeletti et al",2004,"Analysis of infectious diseases’ mortality in Italy","Our research aimed to describe infectious disease mortality in Italy between 1969 and 1999, with particular emphasis on sex, age, and geographic differences. Using mortality data provided by the Italian Central Institute for Statistics (ISTAT), we evaluated all codes of the ICD8 and ICD9 classifications to identify each cause of death attributable to infectious agents","Le Infezioni in Medicina","https://www.infezmed.it/index.php/article?Anno=2004&numero=3&ArticoloDaVisualizzare=Vol_12_3_2004_174"
"6","Becker et al",2020,"Superficial mycoses in Belgium: Burden, costs and antifungal drugs consumption","To estimate the burden of superficial mycoses in Belgium and to assess trends in associated antifungal consumption.","Mycoses","https://onlinelibrary-wiley-com.eur.idm.oclc.org/doi/full/10.1111/myc.13063"
"7","Bermudez-Tamayo et al",2008,"Factors associated with improvement in disability-adjusted life years in patients with HIV/AIDS","To determine which factors are associated with improvements in the level of health of male and female patients with HIV/AIDS in Andalusia, in terms of disability-adjusted life years.","BMC Public Health","https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-8-362"
"8","Bijkerk et al",2015,"Staat van Infectieziekten in Nederland, 2014 [State of Infectious Diseases in the Netherlands, 2014]","De wereldwijde epidemie van ebola was de meest in het oog springende infectieziekte van dit jaar. In Nederland waren geen ebolapatiënten, maar is veel tijd besteed aan de voorbereiding om patiënten te kunnen verzorgen en verspreiding van het virus te voorkomen. Daarnaast was er de uitbraak van mazelen in Nederland, die in 2013 begon en eindigde in de eerste maanden van 2014. In die periode zijn verspreid over Nederland 2700 zieken gemeld en is 3,9 miljoen euro besteed om de epidemie te bestrijden. De grootste kostenposten waren de werkzaamheden van de betrokken GGD'en en de kosten van ziekenhuisopname van ernstig zieke patiënten. Dit blijkt uit de Staat van Infectieziekten in Nederland 2014, een jaarlijks rapport dat inzicht geeft in ontwikkelingen van infectieziekten bij de Nederlandse bevolking. Daarnaast worden elk jaar de ontwikkelingen op het gebied van de infectieziekten in het buitenland beschreven die voor Nederland relevant zijn. Met deze jaarlijkse uitgave informeert het RIVM beleidsmakers van het ministerie van Volksgezondheid, Welzijn en Sport (VWS). Het thema van dit jaar zijn de kosten voor de behandeling, preventie en bestrijding van de infectieziekten. Om inzicht in de kosten te krijgen, zijn deze berekend voor de mazelenepidemie en voor de Salmonella Thompson-uitbraak door gerookte zalm in 2012. Voor deze twee is gekozen omdat ze omvangrijk waren en verspreid over heel Nederland zieken veroorzaakten. Bij de Salmonella Thompson-uitbraak zijn 1149 ziektegevallen gemeld die met behulp van laboratoriumdiagnostiek werden vastgesteld en is 1,7 miljoen euro aan kosten gemaakt. De grootste kostenposten betroffen de inzet van de Nederlandse Voedsel en Warenautoriteit (NVWA) om de bron van de besmetting op te sporen en de kosten van ziekenhuisopname van ernstig zieke patiënten. In de studie staat ook beschreven hoe de kosten en de opbrengsten van interventies met elkaar kunnen worden vergeleken. Met kosteneffectiviteitstudies kan worden bepaald hoe budgetten het meest efficiënt voor de gezondheidszorg kunnen worden ingezet. In dit rapport zijn de meest gebruikte methoden van kosteneffectiviteitsstudies en bijbehorende uitkomstmaten toegelicht.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2015-0117.pdf"
"9","Bijkerk et al",2015,"Staat van Infectieziekten in Nederland, 2015 [State of Infectious Diseases in the Netherlands, 2015]","New disease burden estimates have also been made in this State of 35 infectious diseases in the Netherlands between 2012 and 2014. This disease burden reflects the number of years that people no longer spend in good health because of an infectious disease. Some infectious diseases, such as gastrointestinal infections, are common but generally do not cause serious complaints. Other infections, such as tetanus, are rare, but cause relatively many deaths. A health measure that combines these aspects of diseases is the Disability Adjusted Life Year ( DALY Disability Adjusted Life Year ). The average annual disease burden for the total Dutch population was highest for influenza (8,653 DALYs / year). The lowest disease burden was estimated for diphtheria (0.6 DALYs / year). The disease burden of infections that are vaccinated against is low thanks to the National Vaccination Program.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2016-0069.pdf"
"10","Bijkerk et al",2014,"Staat van Infectieziekten in Nederland, 2012 [State of Infectious Diseases in the Netherlands, 2012]","De uitbraken van kinkhoest en Salmonella Thompson in 2012 waren de meest in het oog springende infectieziekten van dat jaar. Dit blijkt uit de Staat van Infectieziekten in Nederland 2012, die inzicht geeft in ontwikkelingen van infectieziekten bij de Nederlandse bevolking. Daarnaast worden ook de ontwikkelingen in het buitenland beschreven die voor Nederland relevant zijn. Met deze jaarlijkse uitgave informeert het RIVM beleidsmakers van het ministerie van Volksgezondheid, Welzijn en Sport (VWS). Elk jaar komt er een thema aan bod; dit keer de ontwikkelingen in vaccins en vaccinatieprogramma's en de relevantie daarvan voor de Nederlandse volksgezondheid. De meeste vaccinaties worden gegeven vanuit nationale vaccinatieprogramma's, zoals het Rijksvaccinatieprogramma (ongeveer 2 miljoen prikken per jaar) en het Nationale Griep Preventieprogramma (ongeveer 3,5 miljoen prikken per jaar). Daarnaast wordt gevaccineerd bij onder andere reizigers, medische risicogroepen zoals mensen zonder milt en werknemers die een verhoogd risico hebben om een infectieziekte tijdens het werk op te lopen, zoals personeel in de zorg en in laboratoria. Per vaccinatieprogramma is in kaart gebracht in welke mate de ziekten voorkomen, wat het percentage gevaccineerden is en het aantal gegeven vaccins. Het percentage gevaccineerden bij reizigers, medische risicogroepen en werknemers is onbekend. Veranderingen in de maatschappij zorgen ervoor dat bepaalde groeperingen kritisch staan ten opzichte van vaccinaties. In het jaaroverzicht staat ook beschreven welke groepen afzien van vaccinatie, zoals orthodoxgereformeerden (circa 250.000 mensen) en antroposofen. Ook wordt de motivatie en houding van ouders besproken om hun kind wel of niet te laten vaccineren. Daarnaast komt de toename van het aantal ouderen en chronisch zieken aan bod. Hun gevoeligheid voor infecties maakt hen een belangrijke groep om (nieuwe) vaccinaties te overwegen.","RIVM","https://www.rivm.nl/publicaties/state-of-infectious-disease-in-netherlands-2012"
