"","Authors","Year","Title","Objectives","Journal","URL"
"1","Melse & Kramers",1998,"Berekeningen van de ziektelast in Nederland. Achtergronddocument bij VTV-1997 deel III, hoofdstuk 7","Dit rapport bestaat uit twee delen. Deel A is een vrijwel integrale weergave van de tekst van hoofdstuk 7 uit VTV-1997 III: Gezondheid en levensverwachting gewogen. In dit hoofdstuk is een schatting gemaakt van de ziektelast in Nederland voor de in VTV-1997 geselecteerde aandoeningen , op basis van elders berekende wegingsfactoren voor ziekte en de gegevens over prevalentie, incidentie en verloren levensjaren die voor VTV-1997 verzameld zijn. De ziektelast wordt uitgedrukt in DALY's (Disability-Adjusted Life Years), die een optelling zijn van ziektejaar-equivalenten en verloren levensjaren. De ziektejaar-equivalenten worden berekend als de prevalentie maal een wegingsfactor voor de ernst van de aandoening. Een opvallend resultaat was dat de hart- en vaatziekten en kankers verantwoordelijk waren voor het grootste deel van de verloren levensjaren, terwijl de psychische aandoeningen en de lichamelijke chronische aandoeningen juist het grootste deel van de ziektejaarequivalenten voor hun rekening namen. In de beschouwing worden de belangrijkste onzekerheden en problemen van deze benadering besproken. Deel B bevat de berekeningen van de ziektejaar-equivalenten en DALY's per aandoening, gerangschikt naar ICD-hoofdgroep.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/431501028.html"
"2","Agardh et al",2018,"Hälsoutvecklingen i Stockholm bättre än i övriga landet - Jämförelse av hälsoläget utifrån globala sjukdomsbördeprojektet.","To give a more complete picture of the health situation in Stockholm County compared to the rest of Sweden, by using the DALY measure (disability-adjusted life years).","Lakartidningen","https://pubmed.ncbi.nlm.nih.gov/29360136/"
"3","Akgün et al",2007,"Estimating mortality and causes of death in Turkey: methods, results and policy implications","To estimate and report the rank order and magnitude of leading causes of death in Turkey","European Journal of Public Health","https://academic-oup-com.eur.idm.oclc.org/eurpub/article/17/6/593/473510"
"4","Bikbov et al",2014,"Mortality landscape in the Global Burden of Diseases, Injuries and Risk Factors Study","The study has provided a state of the art understanding of the burden of 67 risk factors and their clusters, 291 diseases and injuries on global, regional and national levels in period from 1990 to 2010 for 187 countries.","Eur J Intern Med","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52795657"
"5","Bowie et al",1997,"Estimating the burden of disease in an English region","To evaluate the potential use of DALYs in the region by estimating the burden of disease of each of the sponsoring district authorities and how much of the DALYs are 'avoidable', finding out how much each authority spends on each component and exploring whether strategic shifts in expenditure are likely to reduce the overall burden of disease.","Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L27158172"
"6","Burazeri et al",2014,"National Health Report: Health Status of the Albanian Population.","To provide a broad overview (morbidity and mortality) of the current health status of the population of Albania.","Institute of Public Health (Tirana)","https://www.researchgate.net/publication/271212744_National_Health_Report_Health_status_of_the_Albanian_population"
"7","Catalá-López et al",2013,"Burden of disease assessment with summary measures of population health for the Region of Valencia, Spain: a population-based study","To describe the burden of disease in the Region of Valencia (Spain)","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L51954208"
"8","Catalá-López et al",2013,"Carga de enfermedad en adolescentes y jóvenes en España","To analyze the burden of disease in adolescents and young people in Spain in 2008.","Revista de Psiquiatría y Salud Mental","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52184213"
"9","Cortés García et al",2004,"Carga de enfermedad de la población española menor de 15 años para el año 1999","To assess DALYs of those illnesses most important in Spanish children and teenagers","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L38581342"
"10","Cuadras & Ricart",2014,"Carga de enfermedad en la comunidad autónoma de Cataluña utilizando años de vida ajustados por discapacidad (2005-2010)","To estimate the burden of disease in Catalonia, to compare the results with Spain and Tarragones area and to assess the contribution of the local registers to the estimation of the disability.","Rev Esp Salud Publica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L373619297"
